district,municipality,age_group,pop
1059,1059187,above65,317
1059,1059188,above65,484
1059,1059189,above65,215
1060,1060002,above65,548
1060,1060003,above65,82
1060,1060004,above65,3060
1060,1060005,above65,4213
1060,1060006,above65,37
1060,1060007,above65,186
1060,1060008,above65,147
1060,1060009,above65,165
1060,1060010,above65,79
1060,1060011,above65,1211
1060,1060012,above65,682
1060,1060013,above65,26
1060,1060014,above65,626
1060,1060015,above65,71
1060,1060016,above65,123
1060,1060017,above65,50
1060,1060018,above65,9
1060,1060019,above65,1516
1060,1060020,above65,344
1060,1060021,above65,53
1060,1060022,above65,52
1060,1060023,above65,81
1060,1060024,above65,94
1060,1060025,above65,153
1060,1060026,above65,71
1060,1060027,above65,554
1060,1060028,above65,401
1060,1060029,above65,142
1060,1060030,above65,115
1060,1060031,above65,108
1060,1060033,above65,106
1060,1060034,above65,389
1060,1060035,above65,58
1060,1060036,above65,117
1060,1060037,above65,54
1060,1060038,above65,143
1060,1060039,above65,6083
1060,1060040,above65,283
1060,1060041,above65,65
1060,1060042,above65,89
1060,1060043,above65,450
1060,1060044,above65,4025
1060,1060045,above65,199
1060,1060046,above65,282
1060,1060047,above65,887
1060,1060048,above65,115
1060,1060049,above65,381
1060,1060050,above65,75
1060,1060051,above65,92
1060,1060052,above65,131
1060,1060053,above65,370
1060,1060054,above65,423
1060,1060056,above65,56
1060,1060057,above65,77
1060,1060058,above65,518
1060,1060059,above65,178
1060,1060060,above65,111
1060,1060061,above65,136
1060,1060062,above65,146
1060,1060063,above65,18962
1060,1060064,above65,145
1060,1060065,above65,245
1060,1060066,above65,215
1060,1060067,above65,359
1060,1060068,above65,682
1060,1060069,above65,209
1060,1060070,above65,148
1060,1060071,above65,66
1060,1060072,above65,93
1060,1060073,above65,370
1060,1060074,above65,60
1060,1060075,above65,410
1060,1060076,above65,369
1060,1060077,above65,230
1060,1060079,above65,41
1060,1060080,above65,87
1060,1060081,above65,54
1060,1060082,above65,204
1060,1060084,above65,177
1060,1060085,above65,660
1060,1060086,above65,25
1060,1060087,above65,148
1060,1060088,above65,163
1060,1060089,above65,1200
1060,1060090,above65,51
1060,1060091,above65,78
1060,1060092,above65,2136
1060,1060093,above65,88
1060,1060094,above65,257
1060,1060095,above65,172
1060,1060096,above65,185
1060,1060097,above65,161
1060,1060098,above65,92
1060,1060099,above65,295
1060,1060100,above65,100
1060,1060101,above65,175
1061,1061001,above65,21
1061,1061002,above65,13
1061,1061003,above65,62
1061,1061004,above65,59
1061,1061005,above65,26
1061,1061006,above65,118
1061,1061007,above65,195
1061,1061008,above65,16
1061,1061010,above65,51
1061,1061011,above65,46
1061,1061012,above65,139
1061,1061013,above65,24
1061,1061014,above65,21
1061,1061015,above65,129
1061,1061016,above65,90
1061,1061017,above65,213
1061,1061018,above65,213
1061,1061019,above65,458
1061,1061020,above65,6
1061,1061021,above65,11
1061,1061022,above65,167
1061,1061023,above65,55
1061,1061024,above65,47
1061,1061025,above65,62
1061,1061026,above65,25
1061,1061027,above65,204
1061,1061028,above65,91
1061,1061029,above65,2751
1061,1061030,above65,69
1061,1061031,above65,65
1061,1061033,above65,11
1061,1061034,above65,314
1061,1061035,above65,159
1061,1061036,above65,118
1061,1061037,above65,240
1061,1061038,above65,13
1061,1061039,above65,39
1061,1061040,above65,431
1061,1061041,above65,167
1061,1061042,above65,1360
1061,1061043,above65,103
1061,1061044,above65,1123
1061,1061045,above65,67
1061,1061046,above65,7605
1061,1061047,above65,88
1061,1061048,above65,20
1061,1061049,above65,1847
1061,1061050,above65,528
1061,1061052,above65,122
1061,1061053,above65,9
1061,1061054,above65,53
1061,1061055,above65,487
1061,1061056,above65,589
1061,1061057,above65,142
1061,1061058,above65,38
1061,1061059,above65,6
1061,1061060,above65,26
1061,1061061,above65,614
1061,1061062,above65,28
1061,1061063,above65,56
1061,1061064,above65,30
1061,1061065,above65,124
1061,1061066,above65,77
1061,1061067,above65,81
1061,1061068,above65,21
1061,1061070,above65,10
1061,1061071,above65,63
1061,1061072,above65,511
1061,1061073,above65,105
1061,1061074,above65,212
1061,1061076,above65,30
1061,1061077,above65,161
1061,1061078,above65,67
1061,1061079,above65,354
1061,1061080,above65,42
1061,1061081,above65,33
1061,1061082,above65,256
1061,1061083,above65,140
1061,1061084,above65,52
1061,1061085,above65,37
1061,1061086,above65,77
1061,1061087,above65,103
1061,1061088,above65,122
1061,1061089,above65,22
1061,1061091,above65,155
1061,1061092,above65,118
1061,1061093,above65,95
1061,1061095,above65,193
1061,1061096,above65,74
1061,1061097,above65,654
1061,1061098,above65,56
1061,1061100,above65,24
1061,1061101,above65,155
1061,1061102,above65,31
1061,1061103,above65,19
1061,1061104,above65,153
1061,1061105,above65,255
1061,1061106,above65,22
1061,1061107,above65,405
1061,1061108,above65,51
1061,1061109,above65,65
1061,1061110,above65,306
1061,1061111,above65,2
1061,1061112,above65,26
1061,1061113,above65,1127
1061,1061114,above65,72
1061,1061115,above65,34
